Title,Time,Giá ,Diện tích ,Địa chỉ tài sản,Mã tin,Loại tin,Loại BDS,Chiều ngang,Chiều dài,Hướng,Đường trước nhà,Pháp lý,Số lầu,Số phòng ngủ
Nguyễn Khánh Toàn - Mặt ngõ Kinh doanh. Lô góc. Nở hậu. Ngõ thông. 50m ra oto. Cực hiếm, 08/01/2022, 7.8 tỷ , 58 m2, Đường Nguyễn Khánh Toàn. Phường Quan Hoa. Quận Cầu Giấy. Hà Nội,9812254,Cần bán,Nhà trong hẻm,4.2m,13.5m,_,2.5m,Sổ hồng/ Sổ đỏ,6,8
Phạm Văn Đồng Cầu Giấy 160m 12tầng MT 10m hầm thông sàn thang máy Vỉa Hè ÔTÔ Kinh Doanh, 08/01/2022, 55 tỷ , 160 m2, Đường Phạm Văn Đồng. Phường Nghĩa Đô. Quận Cầu Giấy. Hà Nội,8413873,Cần bán,Nhà mặt tiền,10m,---,_,32m,Sổ hồng/ Sổ đỏ,12,12
Bán nhà  phố  Nguyễn  văn cừ  4 tầng gara  ôtô, 08/01/2022, 12.5 tỷ , 90 m2, Đường Nguyễn Văn Cừ. Phường Gia Thụy. Quận Long Biên. Hà Nội,9811321,Cần bán,Nhà trong hẻm,4.5m,---,_,6m,---,4,5
Bán nhà Nguyễn Văn Huyên_Nhỉnh 6 TỶ_ 6 tầng thang máy_ lô góc_ kinh doanh_ngõ thông, 08/01/2022, 6.7 tỷ , 40 m2, Đường Nguyễn Văn Huyên. Phường Quan Hoa. Quận Cầu Giấy. Hà Nội,9232583,Cần bán,Nhà trong hẻm,3.5m,13m,_,4m,Sổ hồng/ Sổ đỏ,6,3
RẺ GIẬT MÌNH_6.55 TỶ_ TOÀ NHÀ 17 PHÒNG CHO THUÊ_ Cầu Giấy_ Doanh thu gần TỶ/năm, 08/01/2022, 6.55 tỷ , 65 m2, Đường Xuân Thủy. Phường Xuân Thủy. Quận Cầu Giấy. Hà Nội,9121802,Cần bán,Nhà trong hẻm,4.3m,15m,_,4m,Sổ hồng/ Sổ đỏ,6,17
Bán Nhà Phố Phạm Tuấn Tài. Trung Tâm Cầu Giấy.  DT 62m2. 6 Tầng. MT 10m. Giá 11.8 tỷ., 08/01/2022, 11.8 tỷ , 62 m2, Phố Phạm Tuấn Tài. Phường Dịch Vọng Hậu. Quận Cầu Giấy. Hà Nội,9810206,Cần bán,Nhà mặt tiền,10m,---,_,6m,Sổ hồng/ Sổ đỏ,6,4
Bán nhà Trường Chinh 60m² mt 4m giá 6.2 tỷ oto vào nhà, 08/01/2022, 6.2 tỷ , 60 m2, 109/12 Đường Trường Chinh. Phường Phương Liệt. Quận Thanh Xuân. Hà Nội,9785823,Cần bán,Nhà trong hẻm,4m,12m,_,6m,---,4,4
CHÍNH CHỦ CẦN BÁN NHÀ  ĐỊNH CÔNG. NGÕ XE 3 GÁC TRÁNH NHAU. DT 35M2 X 5 TẦNG. GIÁ 3.55 TỶ, 08/01/2022, 3.55 tỷ , 40 m2, Đường Định Công. Phường Định Công. Quận Hoàng Mai. Hà Nội,9808678,Cần bán,Nhà trong hẻm,---,---,_,3.5m,---,5,3
Vĩnh ninh - GARA Ô TÔ - NGÕ THÔNG - KINH DOANH - LÔ GÓC 3 THOÁNG - NHÀ ĐẸP ĐÓN TẾT, 08/01/2022, 2.5 tỷ , 35 m2, Đường Vĩnh Ninh. Xã Vĩnh Quỳnh. Huyện Thanh Trì. Hà Nội,9808640,Cần bán,Nhà trong hẻm,4m,9m,_,5m,Sổ hồng/ Sổ đỏ,4,3
BÁN NHÀ ĐÓN TẾT ĐẸP. VỊ TRÍ NẰM CẠNH KĐT LINH ĐÀM. THẬN TIỆN SINH HOẠT. DT 34M2 x 5 TẦNG, 08/01/2022, 3.2 tỷ , 34 m2, Phố Bằng A. Phường Hoàng Liệt. Quận Hoàng Mai. Hà Nội,9794075,Cần bán,Nhà trong hẻm,---,---,_,2.5m,---,5,3
Nhà mới đón tết 45m2 nhỉnh 5 tỷ ô tô cách nhà 20m. tại công viên Cầu Giấy, 08/01/2022, 5 tỷ , 45 m2, Phố Khúc Thừa Dụ. Phường Dịch Vọng. Quận Cầu Giấy. Hà Nội,9807942,Cần bán,Nhà trong hẻm,4m,11m,_,4m,Sổ hồng/ Sổ đỏ,4,4
Bán nhà phố Láng Hạ cực hiếm. 70m2X6T. lô góc. MT 16m. 2 mặt ô tô tránh. giá 19.2 tỷ., 08/01/2022, 19.2 tỷ , 70 m2, Đường Láng Hạ. Phường Láng Hạ. Quận Đống Đa. Hà Nội,9807787,Cần bán,Nhà trong hẻm,---,---,_,6m,---,6,6
CHÍNH CHỦ BÁN NHÀ 4 TẦNG NGÕ 198 LÊ TRỌNG TẤN - 65M - MT HƠN 4M NỞ HẬU - NGÕ ÔTÔ - 13 TỶ H, 07/01/2022, 13.5 tỷ , 65 m2, Phố Lê Trọng Tấn. Phường Khương Mai. Quận Thanh Xuân. Hà Nội,9806794,Cần bán,Nhà mặt tiền,---,---,_,5m,---,4,4
BÁN NHANH TRƯỚC TẾT mặt phố Hàng Vải 136m2. MT6.6m siêu phẩm phố cổ sầm uất, 07/01/2022, 79 tỷ , 136 m2, Phố Hàng Vải. Phường Hàng Bồ. Quận Hoàn Kiếm. Hà Nội,9805828,Cần bán,Nhà mặt tiền,---,---,_,8m,Sổ hồng/ Sổ đỏ,3,3
Phân lô. kinh doanh. lô góc. 5 tầng. 50m. Thanh Am. 6.8 tỷ, 07/01/2022, 6.8 tỷ , 50 m2, Đường Đặng Vũ Hỷ. Phường Thượng Thanh. Quận Long Biên. Hà Nội,9740636,Cần bán,Nhà mặt tiền,10m,5m,_,24m,Sổ hồng/ Sổ đỏ,5,4
CHÍNH CHỦ BÁN NHÀ MỚI ĐẸP. ĐÔNG THIÊN. HOÀNG MAI 30M2 X 5 TẦNG. MẶT TIỀN 3.5M.  GIÁ 3.1 TỶ, 06/01/2022, 3.1 tỷ , 30 m2, Đường Đông Thiên. Phường Lĩnh Nam. Quận Hoàng Mai. Hà Nội,9628140,Cần bán,Nhà trong hẻm,3.5m,8.58m,_,3m,Sổ hồng/ Sổ đỏ,5,3
Chính chủ bán nhà Đông La. La Phù. An Khánh 1.55- 1.88 tỷ/ căn 3-4 tầng ô tô đỗ cửa kd tốt, 06/01/2022, 1.55 tỷ , 37 m2, Đường La Tinh. Xã Đông La. Huyện Hoài Đức. Hà Nội,9797495,Cần bán,Nhà trong hẻm,---,---,_,4m,Sổ hồng/ Sổ đỏ,3,4
Nhỉnh 20 tỷ bán nhà Nguyễn Thị Định 80m2. MT5.5m. 7 tầng thang máy. vủa hè, 06/01/2022, 20 tỷ , 80 m2, Đường Nguyễn Thị Định. Phường Trung Hòa. Quận Cầu Giấy. Hà Nội,9621156,Cần bán,Nhà mặt tiền,5.5m,---,_,6m,Sổ hồng/ Sổ đỏ,7,10
Bán Nhà Phân lô Phố Hoàng Quốc Việt. Cầu Giấy  DT 48m2. 5 Tầng. MT 4.5m2. Giá 8.8 tỷ., 06/01/2022, 8.8 tỷ , 48 m2, Đường Hoàng Quốc Việt. Phường Nghĩa Đô. Quận Cầu Giấy. Hà Nội,9795771,Cần bán,Nhà mặt tiền,4.5m,---,_,5m,Sổ hồng/ Sổ đỏ,5,5
CẦN BÁN GẤP -Oto tránh . kinh doanh mặt ngõ - khương trung 56m - 6 tầng - 6.3 tỷ, 06/01/2022, 6.3 tỷ , 56 m2, Phố Khương Trung mới. Phường Khương Trung. Quận Thanh Xuân. Hà Nội,9795053,Cần bán,Nhà mặt tiền,5m,12m,_,5m,Sổ hồng/ Sổ đỏ,6,8
Chính chủ. cần bán nhà phân lô. số 32 ngõ 109 Trường Chinh. 2 ô tô lớn tránh nhau 9.35 tỷ, 05/01/2022, 9.25 tỷ , 50 m2, 32 ngõ 109 Đường Trường Chinh. Phường Phương Liên. Quận Đống Đa. Hà Nội,9613858,Cần bán,Nhà mặt tiền,---,---,_,12m,---,5,6
RẺ NHẤT!!! 15 Tỷ có ngay TÒA VĂN PHÒNG. Hồ Tây., 05/01/2022, 300 triệu / m2  , 50 m2, Đường Lạc Long Quân. Phường Bưởi. Quận Tây Hồ. Hà Nội,9791348,Cần bán,Nhà mặt tiền,5m,10m,_,6m,Sổ hồng/ Sổ đỏ,7,6
Phân khúc 8 tỷ - Tây Sơn - Ô tô vào nhà - 60m2 x 5 tầng- Nở hậu - Nhà đẹp . đồ xịn ảnh thậ, 05/01/2022, 8.3 tỷ , 60 m2, Phố Tây Sơn. Phường Quang Trung. Quận Đống Đa. Hà Nội,9787374,Cần bán,Nhà trong hẻm,---,---,_,4m,---,5,6
Chính chủ Bán nhà 2 tầng Cấp 4. Ngõ 42. Đường Chiến Thắng. Bắc Từ Liêm. HN, 04/01/2022, 2.8 tỷ , 37 m2, Số nhà 10 Đường Đức Thắng. Phường Đức Thắng. Quận Bắc Từ Liêm. Hà Nội,9775581,Cần bán,Nhà trong hẻm,4m,12m,Nam,3.5m,Sổ hồng/ Sổ đỏ,2,2
BÁN NHÀ GIA QUẤT. LONG BIÊN. 70M. 5 TẦNG. GIÁ 4.2 TỶ. NỘI THẤT TIỀN TỶ. Ô TÔ, Hôm nay, 4.2 tỷ , 70 m2, 68 Phố Gia Quất. Phường Ngọc Thụy. Quận Long Biên. Hà Nội,9815124,Cần bán,Nhà trong hẻm,5m,14m,_,4m,Sổ hồng/ Sổ đỏ,5,5
BÁN NHÀ NGỌC LÂM. LONG BIÊN. 68M. 5 TẦNG. GIÁ 4.2 TỶ. NỘI THẤT TIỀN TỶ. Ô TÔ, Hôm nay, 4.2 tỷ , 68 m2, 69 Đường Ngọc Lâm. Phường Ngọc Lâm. Quận Long Biên. Hà Nội,9815132,Cần bán,Nhà trong hẻm,5m,14m,_,4m,Sổ hồng/ Sổ đỏ,5,5
BÁN NHÀ GIA THƯỢNG. LONG BIÊN. 70M. 5 TẦNG. GIÁ 4.25 TỶ. Ô TÔ. GẦN KHAI SƠN HILL, Hôm nay, 42.5 tỷ , 50 m2, 96 Đường Gia Thượng. Phường Gia Thụy. Quận Long Biên. Hà Nội,9815142,Cần bán,Nhà trong hẻm,5m,14m,_,4m,Sổ hồng/ Sổ đỏ,5,5
Bán Nhà An Thượng 42m Ô Tô Đỗ Thoáng Đi Lại Tiện Giá rẻ, Hôm nay, 1.5 tỷ , 42 m2, Xã An Thượng. Huyện Hoài Đức. Hà Nội,9763885,Cần bán,Nhà mặt tiền,4m,10m,Đông Bắc,3m,Sổ hồng/ Sổ đỏ,3,3
nhà phố Xã Đàn. lô góc. cách phố 10M. trước nhà ba gác đỗ. 38M. 6 tầng. mới tinh. 5 tỷ., Hôm nay, 5 tỷ , 38 m2, Phố Xã Đàn. Phường Ô Chợ Dừa. Quận Đống Đa. Hà Nội,9774238,Cần bán,Nhà trong hẻm,---,---,_,3m,Sổ hồng/ Sổ đỏ,6,4
NHÀ ĐẸP MẶT NGÕ OTO TRÁNH Quan Nhân 70m2/6T- MT 5.2m- LÔ GÓC 2 THOÁNG-KINH DOANH-GIÁ 15 tỷ, Hôm nay, 15 tỷ , 70 m2, Phố Quan Nhân. Phường Nhân Chính. Quận Thanh Xuân. Hà Nội,9805541,Cần bán,Nhà trong hẻm,5.2m,13.5m,_,4.5m,Sổ hồng/ Sổ đỏ,6,6
Bán nhà 11 Mặt ngõ 134 Quan Nhân. Thanh Xuân. 45m.5T giá 6.2 tỷ, Hôm nay, 6.2 tỷ , 45 m2, Số 11 Ngõ 134 Phố Quan Nhân. Phường Nhân Chính. Quận Thanh Xuân. Hà Nội,9423803,Cần bán,Nhà trong hẻm,---,---,_,8m,Sổ hồng/ Sổ đỏ,5,3
Bán Nhà Đẹp Mặt Phố Mỹ Đình. Nam Từ Liêm. Kinh Doanh Sầm Uất. 75m2 Nhà 6 Tầng., Hôm nay, 19.5 tỷ , 75 m2, Đường Mỹ Đình. Phường Mỹ Đình 1. Quận Nam Từ Liêm. Hà Nội,9811332,Cần bán,Nhà mặt tiền,---,---,_,10m,Sổ hồng/ Sổ đỏ,6,8
Mặt phố Đình Thôn 77m. 6 tầng. Mặt tiền 5.7m. 19 tỷ Từ Liêm, Hôm nay, 19 tỷ , 77 m2, Đường Đình Thôn. Phường Mỹ Đình 1. Quận Nam Từ Liêm. Hà Nội,9811474,Cần bán,Nhà mặt tiền,---,---,_,8m,Sổ hồng/ Sổ đỏ,6,6
HUỲNH THÚC KHÁNG. LÔ GÓC 8 TẦNG THANG MÁY_DT 95M2. 8 TẦNG. MT 16M. 35 TỶ, Hôm nay, 35 tỷ , 95 m2, Phố Huỳnh Thúc Kháng. Phường Láng Hạ. Quận Đống Đa. Hà Nội,9797275,Cần bán,Nhà mặt tiền,16m,---,_,6m,Sổ hồng/ Sổ đỏ,8,6
PHỐ VIP PHẠM VĂN ĐỒNG -KINH DOANH BẤT CHẤP 115M2*7T*4.2MT=38 TỶ, Hôm nay, 38 tỷ , 115 m2, kg có Đường Phạm Văn Đồng. Phường Cổ Nhuế 1. Quận Bắc Từ Liêm. Hà Nội,9816841,Cần bán,Nhà mặt tiền,4.2m,28m,_,10m,Sổ hồng/ Sổ đỏ,7,6
🔥SỐC !!!Bán Nhà-Tặng Xe-Cầu Giấy Dt 38m2 x4Tầngx MT 3.3m. Giá 4.1 tỷ (thương lượng), Hôm nay, 4.1 tỷ , 38 m2, Đường Cầu Giấy. Phường Nghĩa Đô. Quận Cầu Giấy. Hà Nội,9774983,Cần bán,Nhà trong hẻm,3.3m,---,Đông Nam,3.5m,Sổ hồng/ Sổ đỏ,4,4
2022 bán chân đế Shop house Mặt phố 330m2. mặt tiền 12m Minh Khai -Times City.Hai Bà Trưng, Hôm qua, 30 tỷ , 330 m2, Đường Minh Khai. Phường Vĩnh Tuy. Quận Hai Bà Trưng. Hà Nội,9780910,Cần bán,Nhà mặt tiền,---,---,_,35m,Sổ hồng/ Sổ đỏ,3,3
VIEW HỒ HOÀNG CẦU. 55M 7 TẦNG MT 6.5M GIÁ 15 TỶ. KINH DOANH. PHÂN LÔ. Ô TÔ TRÁNH, Hôm qua, 15 tỷ , 55 m2, Phố Mai Anh Tuấn. Phường Ô Chợ Dừa. Quận Đống Đa. Hà Nội,9803432,Cần bán,Nhà mặt tiền,6.5m,9m,_,6m,Sổ hồng/ Sổ đỏ,7,5
Nhà đẹp Hoàng Mai. Phân lô. ô tô đỗ cổng. 60m 5 tầng giá 4.79 tỷ., Hôm qua, 4.79 tỷ , 60 m2, Đường Hoàng Mai. Phường Hoàng Văn Thụ. Quận Hoàng Mai. Hà Nội,9776579,Cần bán,Nhà trong hẻm,4m,15m,_,3.5m,Sổ hồng/ Sổ đỏ,4,4
Nhà Phan Kế Bính. mặt phố. vỉa hè. kinh doanh sầm uất., Hôm qua, 7.5 tỷ , 30 m2, Phố Phan Kế Bính. Phường Cống Vị. Quận Ba Đình. Hà Nội,9785273,Cần bán,Nhà mặt tiền,4m,7.5m,_,1m,Sổ hồng/ Sổ đỏ,1,1
PHỐ CẦU DIỄN. NHÀ ĐẸP KINH DOANH. Ô TÔ. THANG MÁY 65M2X7T. GIÁ 13.5 TỶ, Hôm qua, 13.5 tỷ , 65 m2, Đường Cầu Diễn. Phường Cầu Diễn. Quận Nam Từ Liêm. Hà Nội,9615565,Cần bán,Nhà mặt tiền,---,---,_,10m,---,7,6
MỸ ĐÌNH. NHÀ ĐẸP Ở LUÔN. TẶNG FUUL NỘI THẤT 48M2X5T GIÁ 4.5 TỶ, Hôm qua, 4.5 tỷ , 48 m2, Đường Mỹ Đình. Phường Mỹ Đình 1. Quận Nam Từ Liêm. Hà Nội,9767104,Cần bán,Nhà trong hẻm,---,---,_,3m,---,5,6
BÁN NHÀ PHỐ TRƯỜNG CHINH-ĐỐNG ĐA-HÀ NỘI.38m2.4T.4.59TỶ-MT 6.1m, Hôm qua, 4.59 tỷ , 38 m2, Trường Chinh Đường Trường Chinh. Phường Phương Mai. Quận Đống Đa. Hà Nội,9726233,Cần bán,Nhà trong hẻm,6.1m,---,_,6.1m,Sổ hồng/ Sổ đỏ,4,4
Bán Nhà Mặt Phố Vạn Phúc – Ba Đình – 93m2 – 2 Tầng – MT 7.2m – Giá 12.6 Tỷ., Hôm qua, 12.6 tỷ , 93 m2, Phố Vạn Phúc. Phường Cống Vị. Quận Ba Đình. Hà Nội,9477654,Cần bán,Nhà mặt tiền,7.2m,11m,_,16m,Sổ hồng/ Sổ đỏ,2,3
Phân Lô VIP. Phố Yên Lạc. 65M2x5T. MT:4.5M. Gara ÔTô. Chủ Tự Xây. Chỉ 10.9 Tỷ., Hôm qua, 10.9 tỷ , 65 m2, Phố Yên Lạc. Phường Vĩnh Tuy. Quận Hai Bà Trưng. Hà Nội,9814771,Cần bán,Nhà mặt tiền,4.5m,---,_,4m,Sổ hồng/ Sổ đỏ,5,4
BÁN NHÀ MỸ ĐÌNH. XÂY 5 TẦNG ĐỦ.9 PHÒNG KK CHO THUÊ.40TRIỆU/TH.GẦN Ô TÔ. GIÁ5.1TỶ, Hôm qua, 5.1 tỷ , 50 m2, Đường Mỹ Đình. Phường Mỹ Đình 1. Quận Nam Từ Liêm. Hà Nội,9735922,Cần bán,Nhà trong hẻm,4.2m,12m,_,3m,Sổ hồng/ Sổ đỏ,5,9
Bán nhà đẹp Nguyễn Văn Huyên.ôtô.kinh doanh.35m2 xây 6 tầng thang máy. giá 6tỷ 680triệu, Hôm qua, 6.68 tỷ , 35 m2, Đường Nguyễn Văn Huyên. Phường Nghĩa Đô. Quận Cầu Giấy. Hà Nội,9801615,Cần bán,Nhà trong hẻm,3.5m,10m,_,4m,Sổ hồng/ Sổ đỏ,6,3
ĐỊNH CƯ  NƯỚC NGOÀI CẦN BÁN KHÁCH SẠN KHUẤT DUY TIẾN THANH XUÂN 81M2*9T. T/MÁY LÔ GÓC.., Hôm qua, 17.3 tỷ , 81 m2, Đường Khuất Duy Tiến. Phường Nhân Chính. Quận Thanh Xuân. Hà Nội,9815292,Cần bán,Nhà mặt tiền,8m,---,_,10m,Sổ hồng/ Sổ đỏ,9,20
XUÂN ĐỈNH. MẶT NGÕ Ô TÔ TRÁNH. 20M RA PHỐ. 60M2. MT 5M. KINH DOANH. CHỈ 8 TỶ, Hôm qua, 8 tỷ , 60 m2, Đường Xuân Đỉnh. Phường Xuân Đỉnh. Quận Bắc Từ Liêm. Hà Nội,9771853,Cần bán,Nhà mặt tiền,5m,---,_,6m,Sổ hồng/ Sổ đỏ,4,4
Bán Nhà Mặt Phố Thụy Khuê – 37m2 – 4 Tầng – MT 4.1m – Giá 10.3 Tỷ., Hôm qua, 10.3 tỷ , 37 m2, Đường Thụy Khuê. Phường Thụy Khuê. Quận Tây Hồ. Hà Nội,9806156,Cần bán,Nhà mặt tiền,4.1m,9m,_,16m,Sổ hồng/ Sổ đỏ,4,4
Hoàng Mai - Ô Tô Vào Nhà -  31m2 - 4 T - Giá 2.93 Tỷ.  - Vị trí cực kỳ đẹp Ô TÔ VÀO NHÀ., Hôm qua, 2.93 tỷ , 31 m2, Đường Hoàng Mai. Phường Hoàng Văn Thụ. Quận Hoàng Mai. Hà Nội,9771929,Cần bán,Nhà trong hẻm,3.5m,9m,_,4m,Sổ hồng/ Sổ đỏ,4,3
Trung Tả - Đống Đa - 48m2 - 5 T - MT 3.5m - Giá 3 Tỷ 98.I, Hôm qua, 3.98 tỷ , 48 m2, Phố Khâm Thiên. Phường Khâm Thiên. Quận Đống Đa. Hà Nội,9789451,Cần bán,Nhà trong hẻm,3.6m,13m,_,3m,Sổ hồng/ Sổ đỏ,5,8
Phân lô Vip Hoàng Văn Thái DT48mx6T.Gara ô tô. thang máy.nhà mới đẹp giá 9.6 tỷ, Hôm qua, 9.6 tỷ , 48 m2, Phố Hoàng Văn Thái. Phường Khương Mai. Quận Thanh Xuân. Hà Nội,9799365,Cần bán,Nhà trong hẻm,4m,---,_,12m,Sổ hồng/ Sổ đỏ,6,4
NHÀ DÒNG TIỀN - CC MINI MỚI 7 TẦNG - THANG MÁY - 11 PHÒNG KHÉP KÍN - NGÃ TƯ SỞ, Hôm qua, 9.8 tỷ , 61 m2, Đường Láng. Phường Thịnh Quang. Quận Đống Đa. Hà Nội,9808275,Cần bán,Nhà trong hẻm,---,---,_,2.5m,Sổ hồng/ Sổ đỏ,7,11
Nhà mới đẹp. lô góc. nở hậu 32m 5tầng mt4.3m ngõ 349 Minh Khai cạnh Times City., Hôm qua, 3.15 tỷ , 32 m2, Đường Minh Khai. Phường Minh Khai. Quận Hai Bà Trưng. Hà Nội,9713767,Cần bán,Nhà trong hẻm,4.3m,---,_,2m,Sổ hồng/ Sổ đỏ,5,3
PHÂN LÔ LINH ĐÀM - Ô TÔ TRÁNH - 3 THOÁNG - KINH DOANH SIÊU ĐỈNH, Hôm qua, 10.9 tỷ , 60 m2, Đường Nguyễn Hữu Thọ. Phường Hoàng Liệt. Quận Hoàng Mai. Hà Nội,9814769,Cần bán,Nhà mặt tiền,12m,---,_,20m,Sổ hồng/ Sổ đỏ,5,6
Bán nhà Xuân Đỉnh. Bắc Từ Liêm ô tô. ngõ thông. kinh doanh. 5.2 tỷ. TL, Hôm qua, 5.2 tỷ , 45 m2, Đường Xuân Đỉnh. Phường Xuân Đỉnh. Quận Bắc Từ Liêm. Hà Nội,9816056,Cần bán,Nhà mặt tiền,---,---,_,4m,---,6,6
SIÊU PHẨM HỒ TÙNG MẬU CẦU GIẤY 45M2 5 TẦNG NHỈNH 4 TỶ, Hôm qua, 4.65 tỷ , 45 m2, Đường Hồ Tùng Mậu. Phường Mai Dịch. Quận Cầu Giấy. Hà Nội,9623075,Cần bán,Nhà trong hẻm,4m,11m,_,3m,Sổ hồng/ Sổ đỏ,5,4
Siêu Phẩm 5 tầng 6PN Lạc Long Quân Cầu Giấy, Hôm qua, 5.95 tỷ , 45 m2, Đường Lạc Long Quân. Phường Nghĩa Đô. Quận Cầu Giấy. Hà Nội,9623133,Cần bán,Nhà trong hẻm,4m,12m,Đông Nam,3m,Sổ hồng/ Sổ đỏ,5,6
NHÀ PHÂN LÔ QUÂN ĐỘI KHU VIP QUẬN THANH XUÂN 50M 7t THANG MÁY. GARA. Ở SƯỚNG GIÁ 9.9 TỶ, Hôm qua, 9.9 tỷ , 50 m2, Phố Nguyễn Ngọc Nại. Phường Khương Mai. Quận Thanh Xuân. Hà Nội,9784080,Cần bán,Nhà trong hẻm,5.2m,10m,_,4m,Sổ hồng/ Sổ đỏ,7,6
Mặt phố Trung Kính to 140m²x5 tầng. mặt tiền 5.5m vỉa hè 6m. 55 tỷ, Hôm qua, 55 tỷ , 140 m2, Phố Trung Kính. Phường Trung Hòa. Quận Cầu Giấy. Hà Nội,9701919,Cần bán,Nhà mặt tiền,5.5m,---,_,40m,Sổ hồng/ Sổ đỏ,5,4
NHÀ PHỐ NGUYỄN NGỌC NẠI. GARA Ô TÔ. THANG MÁY. NHÀ MỚI. 45M2. 7 TẦNG. 3.8M MẶT TIỀN, Hôm qua, 9.7 tỷ , 45 m2, Phố Nguyễn Ngọc Nại. Phường Khương Mai. Quận Thanh Xuân. Hà Nội,9537222,Cần bán,Nhà mặt tiền,4m,11m,Đông Nam,5m,Sổ hồng/ Sổ đỏ,7,6
BÁN NHÀ 4 TẦNG DT 26/31 M2. 3 PN. NGÕ RỘNG. THOÁNG 190 HOÀNG MAI – HN. GIÁ 2.1 TỶ, Hôm qua, 2.1 tỷ , 26 m2, Đường Hoàng Mai. Phường Tương Mai. Quận Hoàng Mai. Hà Nội,9815789,Cần bán,Nhà trong hẻm,3.6m,7.2m,_,3m,Sổ hồng/ Sổ đỏ,4,3
Cực chất. nhà Xuân Diệu. 3 bước ra Hồ Tây. ngõ thông. 45m2. mặt tiền 4.2m. chỉ 5.7 tỷ., Hôm qua, 5.7 tỷ , 45 m2, Đường Xuân Diệu. Phường Quảng An. Quận Tây Hồ. Hà Nội,9815735,Cần bán,Nhà trong hẻm,---,---,_,3.5m,Sổ hồng/ Sổ đỏ,4,4
Gia Đình Cần Bán Nhà Tân Mai - QHM - DT:54M - 4 Tầng - Giá 5.95 Tỷ, Hôm qua, 5.95 tỷ , 54 m2, hoang mai Phố Tân Mai. Phường Tân Mai. Quận Hoàng Mai. Hà Nội,9724976,Cần bán,Nhà mặt tiền,5m,---,_,7m,---,4,4
Siêu hiếm Tô Ngọc Vân-Hồ Tây. ô tô tránh. 100 ra hồ. lô góc. 110m2. chỉ 26 tỷ., Hôm qua, 26 tỷ , 110 m2, Đường Tô Ngọc Vân. Phường Quảng An. Quận Tây Hồ. Hà Nội,9815708,Cần bán,Nhà mặt tiền,---,---,_,20m,Sổ hồng/ Sổ đỏ,6,8
NHANH KẺO LỠ..!  Bán nhà đường Hồng Hà. phân lô. KD. DT 50m2. Giá 11 tỷ, Hôm qua, 11 tỷ , 52 m2, Hà Nội Đường Hồng Hà. Phường Phúc Xá. Quận Ba Đình. Hà Nội,9815666,Cần bán,Nhà mặt tiền,4m,---,_,4m,Sổ hồng/ Sổ đỏ,5,4
Nhỉnh 2 tỷ Có Nhà Ngõ 27 Long Biên 1. Gần Hồ. Gần Cầu Lb. Mipec Long Biên, Hôm qua, 2.3 tỷ , 31 m2, Ngõ 27 Đường Long Biên 1. Phường Ngọc Lâm. Quận Long Biên. Hà Nội,9815513,Cần bán,Nhà trong hẻm,5m,6.5m,_,2m,Sổ hồng/ Sổ đỏ,2,2
Nhà mặt Ngõ 66 Ngọc Lâm Long Biên. Mặt Ngõ Kinh Doanh. Ngõ ô tô tránh. Thông Ng V Cừ, Hôm qua, 7.3 tỷ / m2  , 42 m2, Ngõ 66 Đường Ngọc Lâm. Phường Ngọc Lâm. Quận Long Biên. Hà Nội,9815328,Cần bán,Nhà mặt tiền,3.8m,11.6m,_,8m,Sổ hồng/ Sổ đỏ,4,3
Siêu Hót . Cần bán Gấp Nhà Mậu Lương – Kiến Hưng – Hà Đông 34m2x5T. 4 PN Giá 3.3 Tỷ, Hôm qua, 3.3 tỷ , 34 m2, Đường Kiến Hưng. Phường Kiến Hưng. Quận Hà Đông. Hà Nội,9244218,Cần bán,Nhà trong hẻm,3.4m,---,Đông,3m,Sổ hồng/ Sổ đỏ,5,4
Bán nhà mặt ngõ Quan Nhân Thanh Xuân -Kinh doanh sầm uất- ngõ thông -ô tô giá tốt, Hôm qua, 6.2 tỷ , 60 m2, Quan nhân Phố Quan Nhân. Phường Khương Đình. Quận Thanh Xuân. Hà Nội,9815056,Cần bán,Nhà mặt tiền,---,---,_,5m,Sổ hồng/ Sổ đỏ,5,4
CHỈ 8.5 TỶ CÓ MẶT PHỐ KINH DOANH SẦM UẤT. 6 TẦNG THANG MÁY., Hôm qua, 8.5 tỷ , 36 m2, Phố Kim Hoa. Phường Phương Liên. Quận Đống Đa. Hà Nội,9810665,Cần bán,Nhà mặt tiền,4m,---,Đông Bắc,6m,Sổ hồng/ Sổ đỏ,6,4
TÒA NHÀ CĂN HỘ CHO THUÊ 9 TẦNG 300M2 – 106 CĂN HỘ CHO THUÊ – PHỐ VÕ CHÍ CÔNG. CẦU GIẤY, Hôm qua, 81 tỷ , 300 m2, Đường Võ Chí Công. Phường Nghĩa Đô. Quận Cầu Giấy. Hà Nội,9814913,Cần bán,Nhà trong hẻm,20m,---,_,8m,Sổ hồng/ Sổ đỏ,9,106
Bán Gấp Nhà Ngõ 260 Cầu Giấy 42m  5T  Giá 5.3 Tỷ - Ô Tô Đỗ Cổng. 2 Mặt Thoáng, Hôm qua, 5.3 tỷ , 42 m2, Đường Cầu Giấy. Phường Dịch Vọng. Quận Cầu Giấy. Hà Nội,9814877,Cần bán,Nhà trong hẻm,4m,---,_,4m,---,5,3
